depth_m,gamma_max_a,gamma_max_b,gamma_max_diff,gamma_max_ratio_b_over_a,pga_g_a,pga_g_b,pga_g_diff,pga_g_ratio_b_over_a,max_displacement_m_a,max_displacement_m_b,max_displacement_m_diff,max_displacement_m_ratio_b_over_a,max_strain_pct_a,max_strain_pct_b,max_strain_pct_diff,max_strain_pct_ratio_b_over_a,max_stress_ratio_a,max_stress_ratio_b,max_stress_ratio_diff,max_stress_ratio_ratio_b_over_a,effective_stress_kpa_a,effective_stress_kpa_b,effective_stress_kpa_diff,effective_stress_kpa_ratio_b_over_a,tau_peak_kpa_a,tau_peak_kpa_b,tau_peak_kpa_diff,tau_peak_kpa_ratio_b_over_a,secant_g_over_gmax_a,secant_g_over_gmax_b,secant_g_over_gmax_diff,secant_g_over_gmax_ratio_b_over_a
2.0,4.8918610518e-05,8.4684827517e-05,3.5766216998999996e-05,1.7311372220157302,0.2776075222307407,0.39119878631421773,0.11359126408347703,1.4091793448920404,0.0038825004027630214,0.27328501834601543,0.26940251794325243,70.38892208524418,0.0048918610518,0.0084684827517,0.0035766216999000002,1.7311372220157302,0.5225321620706576,0.7707658275269873,0.24823366545632974,1.4750591130556348,20.38,20.38,0.0,1.0,10.649205463,15.708207565,5.059002102000001,1.4750591130556348,0.68002458829,0.59054392843,-0.08948065985999998,0.8684155523184692
6.0,0.00013717119846,0.00025708046004,0.00011990926157999998,1.8741577162422056,0.26073066522422295,0.36073247216798626,0.10000180694376332,1.3835444781984652,0.0036189028957432324,0.27322432504587485,0.2696054221501316,75.49921424176854,0.013717119846,0.025708046004,0.011990926158,1.8741577162422058,0.5132611454530586,0.7552678057409224,0.24200666028786388,1.4715078521563194,61.14,61.14,0.0,1.0,31.380786433,46.177073643,14.79628721,1.4715078521563194,0.55639753534,0.44358838154,-0.1128091538,0.7972508024661445
10.0,0.00023858161816,0.00045848322057,0.00021990160241000002,1.921703876878425,0.2186990291453331,0.29476411231722344,0.07606508317189034,1.3478071369093387,0.0029919122077930148,0.2730952330265135,0.2701033208187205,91.2778230307641,0.023858161816,0.045848322057,0.021990160241,1.9217038768784247,0.4887469050736016,0.7093105334249266,0.22056362835132498,1.4512839387046548,101.89999999999999,101.89999999999999,0.0,1.0,49.803309627,72.278743356,22.47543372900001,1.4512839387046548,0.46775420059,0.35419520545,-0.11355899514000001,0.7572250660779469
14.0,0.00031772678926,0.00059458459705,0.00027685780779,1.8713706780432784,0.15042585224439634,0.2240768358928165,0.07365098364842015,1.4896165290043342,0.0019785977511554507,0.27286903782504845,0.270890440073893,137.9103143454499,0.031772678926000004,0.059458459705,0.027685780778999997,1.8713706780432782,0.44696538370951916,0.6325638391069677,0.18559845539744851,1.4152412293254193,142.66,142.66,0.0,1.0,63.76408164,90.241557287,26.477475647000006,1.4152412293254195,0.42475699357,0.31850436218,-0.10625263139000002,0.7498507782132855
18.0,0.00034358189062,0.00061714105502,0.00027355916440000006,1.796197855208135,0.053857954188618946,0.18859912910409266,0.13474117491547372,3.501787840726165,0.0006871637812332662,0.27257955094312725,0.27189238716189396,396.6733381289733,0.034358189062,0.061714105502,0.027355916440000003,1.796197855208135,0.39108379647257663,0.5416358283502345,0.15055203187765787,1.384961057542088,183.42,183.42,0.0,1.0,71.732589949,99.346843636,27.614253687,1.384961057542088,0.41913398233,0.32134096791,-0.09779301441999999,0.7666783927269255
