layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,5.6201801716e-05,2.9259805780019977e-05,92.07851938093631,13.156078458,12.1,8.72792114049587,0.72944353458,0.8113587690390948,-10.096055849141594,0.31974495069278847,207.45096033577533
2,6.0,0.00014855658277,0.00010238136840577661,45.101188901102894,38.377766036,36.1,6.30960120775622,0.62342025555,0.6918075144227482,-9.885301539375629,,
3,10.0,0.00026018041392,0.0001855473392878404,40.223198520988205,60.657774708,57.6,5.308636645833327,0.52197100191,0.6090693643668219,-14.30023697668128,,
4,14.0,0.0003458205605,0.0002599749714841779,33.02071292699292,77.750648755,74.7,4.083867141900933,0.4758020849,0.5637519610572196,-15.60081068140052,,
5,18.0,0.00036370932263,0.000301760267240939,20.52922870047636,87.044989963,84.9,2.5264899446407543,0.4763290233,0.5520070668117482,-13.709614978091716,,
