layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,5.0642426561e-05,2.9259805780019977e-05,73.07847817493418,11.727351507,12.1,-3.0797396115702464,0.71814414103,0.8113587690390948,-11.488706545871233,0.3168248709681341,146.44795677862862
2,6.0,0.00013956927376,0.00010238136840577661,36.32292274785141,34.397541058,36.1,-4.715952747922437,0.59764319408,0.6918075144227482,-13.611346852934949,,
3,10.0,0.00024058538369,0.0001855473392878404,29.662534969999662,54.737893062,57.6,-4.968935656250006,0.50911315806,0.6090693643668219,-16.41130093790461,,
4,14.0,0.00031882968451,0.0002599749714841779,22.63860735894111,70.348230157,74.7,-5.825662440428379,0.46692100752,0.5637519610572196,-17.176162608043057,,
5,18.0,0.00034729070016,0.000301760267240939,15.088279625199121,79.422714314,84.9,-6.451455460541816,0.46042485345,0.5520070668117482,-16.5907682832221,,
