period_s,psa_m_s2
0.01,3.348394733265488
0.010641199976623413,3.349923866953874
0.011323499960673484,3.351630696049374
0.012049500069254503,3.35363057162107
0.012822099966348397,3.3559111932683416
0.013644200058629128,3.35826585570233
0.014518999977161615,3.3606841718201053
0.0154500000224025,3.36411800832533
0.01644059992340982,3.369442406807569
0.017494699849470354,3.37507853838399
0.018616499915574174,3.3820512630925093
0.019810099985338545,3.3946451032355007
0.021080300027478172,3.4224771910564096
0.022431900171942756,3.430637560731521
0.023870200153299197,3.385959312930114
0.025400699850242552,3.388424218388863
0.027029299679764963,3.4238037541124062
0.02876240022575033,3.367991033571039
0.030606599541904905,3.4996498964855083
0.03256899970570652,3.4554700770222766
0.03465720026035875,3.3909550166003886
0.03687939945880957,3.4637086157746864
0.039244000436079333,3.643099545232637
0.04176030021980952,3.6351052026404367
0.04443780049951643,3.4715959349623584
0.04728709893979014,3.4016619951659215
0.05031899981527895,3.4621191617674105
0.05354539881442991,3.5740061698408687
0.05697859923697678,3.8128014894109956
0.0606319008197918,4.531556081938163
0.06451950069648801,4.5810284589909065
0.0686562987416811,4.511729802733686
0.0730583999625941,4.394059196840437
0.07774280301831768,3.9860232601255494
0.08272749917500002,3.7444987249626793
0.0880318034256872,3.961524772387239
0.09367620071812176,4.177408485378272
0.09968250126522014,4.354199528518614
0.10607399870653365,4.650623050906496
0.11287499613403137,5.196230506669107
0.12011199723069778,5.172803792373518
0.1278140009757321,6.117389311426616
0.13600899291461152,7.534420057589744
0.14472999028282846,7.91299235680929
0.1540090005940127,9.802100683107005
0.1638839983172391,11.745863159325618
0.1743919997321339,11.145806502105879
0.18557299838644276,10.627367945466192
0.19747200291310696,10.872144685805493
0.21013400665872642,7.554926342772839
0.2236069955001328,6.614645843823593
0.23794397371194975,5.630702113834772
0.2532000049627201,4.654415781472946
0.269435021702991,4.907306411295887
0.28671097498074016,4.378873388851989
0.3050940330319208,3.5677585456468233
0.3246560350472683,3.1589284573529453
0.3454719509595656,2.871684683058437
0.367623001141837,2.5194083711884585
0.3911940651165993,2.3822725557252293
0.4162769273933946,2.042129141599216
0.44296690372778796,2.8540590105479438
0.4713690442521259,2.743182371434424
0.5015930595571535,2.327236049385184
0.5337540738779689,2.4128726228230657
0.5679768946999236,2.2404931675867235
0.6043939439726814,1.4954314479530784
0.6431459613327786,1.5495479330053767
0.6843839996495954,1.6749615424261324
0.728264756282558,1.8403157637849985
0.7749589078039136,1.650028877950598
0.824647731105465,2.064868567100333
0.8775232082950515,1.7050778932348591
0.9337879012836782,1.1794490370579955
0.9936604463522725,1.122547868713887
1.0573697082611238,1.0604862013500576
1.1251694786527222,1.055189050959397
1.1973094063021579,1.0977320000147703
1.2740801141575782,1.0501050139816972
1.3557704301046112,0.8859864028112854
1.4426995794530726,0.7430537251521466
1.535199829285779,0.5540265775776765
1.6336399130903567,0.5192906475063966
1.7383806636442023,0.44389692259485247
1.84984100616552,0.36578339442938207
1.9684496883944145,0.41893882186727094
2.0946619634523382,0.3984346590123696
2.2289685670852672,0.34764285515374466
2.3718827530917492,0.33465184264810705
2.523958677748528,0.3809046099980829
2.685796701304491,0.44442491807659146
2.858000257220023,0.4655682734902143
3.041251535832026,0.46283351033858217
3.236245954692557,0.4738903679921083
3.443751485117828,0.4324798903899258
3.6645607657466175,0.36938531302274874
3.899517239765717,0.3045983421647944
4.149549773849537,0.2518947919134993
4.415615382237745,0.22790516102639216
4.6987402677342205,0.2189401971802326
5.0,0.22361284805630618
5.320592288333537,0.21691869344087414
5.661744723253918,0.2189469270393194
6.0247496716511435,0.22111115642862988
6.411037241715337,0.22172874750554478
6.82212004202426,0.21217949599167837
7.259528130671506,0.20164175377565322
7.7249903437620695,0.18792171595754098
8.220304151253597,0.18599107670007256
8.74737578726382,0.18203858439034776
9.308213567652096,0.16909521209725123
9.905010945037095,0.15587995454394793
10.0,0.1536745713711432
