layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,1.0605402531e-04,1.8096059445e+01,3.1948070302e+08,6.2682113932e-01
1,2,"Layer 2",6.00000000,2.8404438934e-04,2.7166491385e+01,2.6227161381e+08,5.1457690629e-01
2,3,"Layer 3",10.00000000,4.8892454594e-04,9.4437043320e+01,2.2147765724e+08,4.3453916351e-01
3,4,"Layer 4",14.00000000,7.0726353680e-04,6.0820127571e+01,1.9749079249e+08,3.8747693486e-01
4,5,"Layer 5",18.00000000,8.7530174874e-04,1.4641553874e+02,1.7916339518e+08,3.5151858134e-01
