layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,4.8785657531e-05,1.0647202819e+01,3.4744687278e+08,6.8169076440e-01
1,2,"Layer 2",6.00000000,1.3667024622e-04,3.1301315103e+01,2.8385421965e+08,5.5692197896e-01
2,3,"Layer 3",10.00000000,2.3771216507e-04,4.9668823394e+01,2.3865951174e+08,4.6824996203e-01
3,4,"Layer 4",14.00000000,3.1608005934e-04,6.3697506729e+01,2.1723898882e+08,4.2622289606e-01
4,5,"Layer 5",18.00000000,3.4128558569e-04,7.1470479993e+01,2.1421647307e+08,4.2029272016e-01
