layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,4.9803473657e-05,1.1058101412e+01,3.5123914117e+08,6.8913119498e-01
1,2,"Layer 2",6.00000000,1.4365699654e-04,3.2462169883e+01,2.8177786260e+08,5.5284816641e-01
2,3,"Layer 3",10.00000000,2.5031857421e-04,5.1913564013e+01,2.3551667248e+08,4.6208371141e-01
3,4,"Layer 4",14.00000000,3.2499500008e-04,6.5742146895e+01,2.1797192271e+08,4.2766091236e-01
4,5,"Layer 5",18.00000000,3.4640427700e-04,7.3086075146e+01,2.1565298210e+08,4.2311115089e-01
