layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,5.0642426573e-05,2.9259805780019977e-05,73.07847821594605,11.727351509,12.1,-3.0797395950413193,0.718144141,0.8113587690390948,-11.488706549568734,0.3168248705866137,146.44795709168835
2,6.0,0.0001395692739,0.00010238136840577661,36.32292288459503,34.397541078,36.1,-4.71595269252077,0.59764319396,0.6918075144227482,-13.611346870280816,,
3,10.0,0.00024058538455,0.0001855473392878404,29.662535433493243,54.737893173,57.6,-4.968935463541663,0.50911315761,0.6090693643668219,-16.411301011787828,,
4,14.0,0.00031882968458,0.0002599749714841779,22.638607385866777,70.348230398,74.7,-5.825662117804558,0.46692100802,0.5637519610572196,-17.17616251935157,,
5,18.0,0.00034729069838,0.000301760267240939,15.088279035326885,79.422714664,84.9,-6.451455048292119,0.46042485661,0.5520070668117482,-16.590767710765668,,
