strain,stress
-2.86587063419271e-10,-0.0001254294490897966
-2.8888455880706115e-10,-0.0001264349849899125
-2.913075366082534e-10,-0.00012749544029146855
-2.9316626294569e-10,-0.00012830894184220776
-2.9468712037464906e-10,-0.00012897456961752496
-2.9479256509223857e-10,-0.00012902071919831511
-2.9148123478611517e-10,-0.00012757146209963104
-2.804821170171071e-10,-0.00012275752086383235
-2.077554762757878e-10,-9.092753393595123e-05
4.463035525338932e-11,1.9533194573841703e-05
2.5395063081668555e-10,0.00011114558814800051
3.280555857663145e-10,0.00014357881651238708
3.8425609784415585e-10,0.00016817587677178642
4.322417848699583e-10,0.0001891775863954912
4.789932048132179e-10,0.00020963909912982513
5.201188907425287e-10,0.00022763841866647449
5.644942255284326e-10,0.00024705999942090063
6.070471074319163e-10,0.00026568395428703027
6.500112409204925e-10,0.0002844879000401875
6.922152819043212e-10,0.00030295917905329617
7.36730376192961e-10,0.0003224419278075059
7.746900992798808e-10,0.00033905561265980483
8.089205114850298e-10,0.00035403710447518103
8.430746180592159e-10,0.000368985199900853
8.809834899665318e-10,0.0003855766289144997
9.174114793191667e-10,0.0004015199258010915
9.507363051497287e-10,0.00041610507313841465
9.595603196844719e-10,0.00041996704537347666
9.375865295285601e-10,0.00041034986181750225
9.133656446928889e-10,0.00039974920104391705
9.119702878797936e-10,0.00039913850063664087
9.264681797943316e-10,0.0004054837367896892
9.460411161991957e-10,0.00041405014799137025
9.643320178602598e-10,0.00042205545601654973
9.848645842835978e-10,0.0004310418647684033
1.0078968004738614e-09,0.000441122285543836
1.0425900057504924e-09,0.0004563063262087868
1.0887154281099937e-09,0.00047649386100732157
1.1195728446745183e-09,0.0004899991068961087
1.1331140546048837e-09,0.0004959256357537292
1.1655534553092267e-09,0.0005101232625084172
1.1948555942522087e-09,0.0005229478160696291
1.1957724886138879e-09,0.0005233491096705574
1.1985085584472766e-09,0.0005245465947481412
1.2433928978456491e-09,0.0005441909495781463
1.3208967361687443e-09,0.0005781117540528007
1.371921405878721e-09,0.0006004435234472487
1.3935765515549655e-09,0.000609921247109035
1.445138938040441e-09,0.0006324883569201525
1.4908151831133968e-09,0.0006524793020369239
1.4879703686594829e-09,0.0006512342231228241
1.4875138683278848e-09,0.0006510344283923206
1.556674964673492e-09,0.0006813038973263902
1.7067616613446966e-09,0.0007469917600462632
1.8916300286290014e-09,0.000827902381711963
2.037760592096123e-09,0.000891858778948385
2.048200951157921e-09,0.0008964281704268315
1.9080286294256087e-09,0.0008350794937533141
1.7984268350809188e-09,0.0007871105012946574
1.845314779459779e-09,0.0008076317661494826
1.908513116249435e-09,0.0008352915372233815
1.868645256696241e-09,0.0008178427256807937
1.8202351310893221e-09,0.000796655253668631
1.8445830178987456e-09,0.0008073114989037442
1.9452672796248526e-09,0.0008513775894301086
2.121669685266212e-09,0.0009285829464819045
2.2666687060847567e-09,0.0009920441058337579
2.229115276175886e-09,0.0009756082417416971
2.143244773213074e-09,0.0009380256315876163
2.2592126320904356e-09,0.0009887808348321904
2.4920013926489428e-09,0.001090664589258444
2.5358923846175652e-09,0.001109874189569589
2.2652717849991434e-09,0.0009914327207973927
1.892790986622826e-09,0.0008284104936966577
1.7885406630591823e-09,0.0007827836587097244
1.9795788277648243e-09,0.0008663945916955545
2.1941055908359177e-09,0.0009602856884742627
2.407972542962704e-09,0.0010538880083547383
2.785198903008449e-09,0.0012189872070351257
3.0428839040248356e-09,0.0013317672025121151
2.84822216926664e-09,0.0012465703556681807
2.5512713348779725e-09,0.0011166050351134446
2.5698229508977654e-09,0.0011247244489813477
2.6326406052932105e-09,0.0011522176082674905
