profile_layer_index,depth_m,geowave_gamma_max,deepsoil_gamma_max,gamma_max_ratio_geo_over_ref,geowave_pga_g,deepsoil_pga_g,pga_g_ratio_geo_over_ref,geowave_max_displacement_m,deepsoil_max_displacement_m,max_displacement_ratio_geo_over_ref,geowave_max_strain_pct,deepsoil_max_strain_pct,max_strain_ratio_geo_over_ref,geowave_max_stress_ratio,deepsoil_max_stress_ratio,max_stress_ratio_geo_over_ref,geowave_effective_stress_kpa,deepsoil_effective_stress_kpa,effective_stress_ratio_geo_over_ref,geowave_stress_proxy_kpa,deepsoil_stress_proxy_kpa,stress_proxy_ratio_geo_over_ref,geowave_secant_proxy_kpa,deepsoil_secant_proxy_kpa,secant_proxy_ratio_geo_over_ref,tau_peak_proxy_ratio_geo_over_ref,mean_kt_ratio_geo_over_ref_secant,min_kt_ratio_geo_over_ref_secant,mean_compliance_fraction,max_compliance_fraction,mean_kt_kpa,min_kt_kpa,max_kt_kpa,gamma_abs_max,tau_abs_max,gamma_m_global_max,f_mrdf_min,f_mrdf_max,g_ref_min_kpa,g_ref_max_kpa,g_t_ref_min_kpa,g_t_ref_max_kpa,reason_counts,branch_kind_counts
0,2.0,8.0225447639e-05,5.584741845877537e-05,1.4365112990535032,0.4373714978447868,0.5069620690623701,0.862730220928971,0.006919118912983445,0.007664623427635184,0.9027343584860562,0.0080225447639,0.005584741845877537,1.4365112990535032,0.7456551204612366,1.001818851852742,0.7443013465780148,20.38,20.38,1.0,15.196451355,20.41706820075888,0.7443013465780148,189421.83312433833,365586.60658289964,0.5181312162796244,1.115704983497744,1.2518567780857834,0.5803035549714347,0.18352555208560797,0.32036478014869474,457662.07142818364,212151.20745,509586.78107,8.0285204938e-05,22.77942474,8.0285204938e-05,0.81999999969,0.82,334008.30432,509683.98315,199948.70542,509588.52763,"{""0"": 87, ""1"": 47905}","{""none"": 87, ""translated_local_bridge"": 47905}"
1,6.0,0.00024453002616,0.0002161367687372117,1.1313670857053943,0.4072174447540085,0.49234519975879915,0.827097420577077,0.006471021912855104,0.00744239642320793,0.8694809500709008,0.024453002616000002,0.02161367687372117,1.1313670857053946,0.7304554024043179,0.9728551873508811,0.7508367246243233,61.14,61.14,1.0,44.660043303,59.48036615463287,0.7508367246243234,182636.2349210162,275197.8134130044,0.663654382482044,0.8707739310539839,1.565741366394875,0.49611875790997206,0.19584372758808025,0.35728547640479513,430888.6004021593,136530.79737,509638.24521,0.00024489278675,51.793952257,0.00024489278675,0.72999996112,0.73,262301.85228,509677.24094,125011.54062,509639.4297,"{""0"": 99, ""1"": 47893}","{""none"": 99, ""translated_local_bridge"": 47893}"
2,10.0,0.00044243817479,0.0004149935237441754,1.0661327212969784,0.34423146087270595,0.4285666103523375,0.8032157721986388,0.005326696342013574,0.006579046963529039,0.8096455872016307,0.044243817479,0.04149935237441754,1.0661327212969784,0.6926615564867518,0.9166178205125458,0.7556710561217713,101.89999999999999,101.9,0.9999999999999999,70.582212606,93.40335591022843,0.7556710561217712,159530.11432501575,225071.83983865575,0.7087964200202743,0.8179234374664897,1.8536316384766278,0.45233623567915854,0.20344995105549507,0.41941564810892684,417200.2832550766,101808.14879,509643.98511,0.00044329175643,76.396793937,0.00044329175643,0.68499966458,0.685,218449.96181,509673.19645,91462.004084,509645.01837,"{""0"": 115, ""1"": 47877}","{""none"": 115, ""translated_local_bridge"": 47877}"
3,14.0,0.00057590353748,0.0005816889564633517,0.9900541020779785,0.23996265450438334,0.32279727801656954,0.74338499995674,0.0034460033790784366,0.004919072868552338,0.7005392014232513,0.057590353748,0.05816889564633517,0.9900541020779785,0.6233555623159961,0.8279510447075094,0.7528893964210278,142.66,142.66,1.0,88.92790452,118.11549603797329,0.7528893964210277,154414.582881579,203056.10881133334,0.7604527821669778,0.7813464950638628,2.023485383416328,0.4492007815669767,0.20752913769276204,0.48282105710948436,410881.06819312845,91212.96278,509647.87847,0.00057593086421,92.289128842,0.00057593086421,0.68499759059,0.685,204074.39719,509669.00171,81063.062828,509647.95299,"{""0"": 142, ""1"": 47850}","{""none"": 142, ""translated_local_bridge"": 47850}"
4,18.0,0.0005777644894,0.0006483253854254134,0.8911643788572103,0.0826368941631956,0.17513227268719503,0.47185417567665516,0.0011555289788078042,0.0025933015417016537,0.4455821894316145,0.05777644894,0.06483253854254134,0.8911643788572103,0.5273366649711045,0.7116486541771494,0.7410070431185494,183.42,183.42,1.0,96.72409108899998,130.53059614917274,0.7410070431185493,167410.931034281,201335.00721018677,0.8315043337670025,0.7462090704518499,2.0237245837494915,0.48424483288302733,0.20965163157805458,0.4289557532156464,407446.6036606361,97495.43692,509650.50324,0.00057830033272,97.403114818,0.00057830033272,0.68499788886,0.685,212692.83299,509665.07093,87139.085863,509650.61622,"{""0"": 168, ""1"": 47824}","{""none"": 168, ""translated_local_bridge"": 47824}"
