layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,4.8524297974e-05,1.1771487799e+01,3.9002266974e+08,7.6522447803e-01
1,2,"Layer 2",6.00000000,1.4227310504e-04,3.8279196344e+01,3.3824593508e+08,6.6363852463e-01
2,3,"Layer 3",10.00000000,2.4675542010e-04,5.7885119082e+01,2.6672677867e+08,5.2331793975e-01
3,4,"Layer 4",14.00000000,3.5095791835e-04,7.7702697989e+01,2.4522542022e+08,4.8113227447e-01
4,5,"Layer 5",18.00000000,3.5282030191e-04,7.8895536577e+01,2.2883547179e+08,4.4897519566e-01
