step,gamma,tau_ref_kpa,tau_model_kpa,tau_backbone_kpa,tau_error_kpa,kt_exact_kpa,secant_ref_g_over_gmax,secant_model_g_over_gmax,branch_id,reason_code,branch_kind,gamma_m_global,f_mrdf,g_ref_kpa,g_t_ref_kpa,reload_factor,direction
0,0.0,0.0,0.0,0.0,0.0,254818.13267287007,nan,nan,,0,backbone,,,,,,0
1,-1.0096556014339174e-12,-5.146052965774576e-07,-5.146053020078656e-07,-5.146053005345436e-07,-5.430408057702598e-15,300713.16594217997,0.9999999825423735,0.9999999930949427,1,1,reversal_tangent_preserving,1e-12,0.82,509684.0,509684.0,1.1,-1
2,-4.435924237346073e-12,-2.260919496954177e-06,-2.2609195368898635e-06,-2.260919514831837e-06,-3.9935686627480625e-14,300778.243644789,0.9999999504478981,0.9999999681113685,1,1,reversal_tangent_preserving,1e-12,0.82,509684.0,509684.0,1.1,-1
3,-3.4084101210225635e-12,-1.7372119768980604e-06,-1.7372120397321497e-06,-1.7372120463753063e-06,-6.283408923817544e-14,300713.5051424263,0.9999999267647264,0.9999999629342241,2,1,reversal_tangent_preserving,4.435924237346073e-12,0.82,509684.0,509684.0,1.1,1
4,2.1566437398800098e-11,1.0992065770652751e-05,1.0992065743341824e-05,1.099206585766121e-05,-2.7310927364033663e-14,301187.8711594061,0.9999997899833533,0.9999997874987501,2,1,reversal_tangent_preserving,4.435924237346073e-12,0.82,509684.0,509684.0,1.1,1
5,1.341447969402254e-10,6.837137022417068e-05,6.837138840510182e-05,6.837137076736256e-05,1.8180931139386534e-11,303326.1539018656,0.9999987354443599,0.9999990013584127,2,1,reversal_tangent_preserving,4.435924237346073e-12,0.82,509684.0,509684.0,1.1,1
6,4.634957153667954e-10,0.0002362353226543138,0.00023623557098650166,0.00023623532454789637,2.48332187848194e-10,309581.73213823943,0.9999956503870165,0.9999967015892878,2,1,reversal_tangent_preserving,4.435924237346073e-12,0.82,509684.0,509684.0,1.1,1
7,1.137220676449726e-09,0.0005796170042756678,0.0005796185446545709,0.0005796170089144832,1.5403789030985285e-09,322378.12340742873,0.9999893396604675,0.9999919972127319,2,1,reversal_tangent_preserving,4.435924237346073e-12,0.82,509684.0,509684.0,1.1,1
8,2.082988434935294e-09,0.001061645154797084,0.001061650370173347,0.0010616451632875753,5.2153762630183925e-09,340341.31038451474,0.999980480982844,0.9999853934288156,2,1,reversal_tangent_preserving,4.435924237346073e-12,0.82,509684.0,509684.0,1.1,1
9,2.8642875153532095e-09,0.0014598423392046282,0.0014598522301240814,0.0014598423508805636,9.890919453262037e-09,355180.4873571381,0.9999731630477031,0.9999799381998861,2,1,reversal_tangent_preserving,4.435924237346073e-12,0.82,509684.0,509684.0,1.1,1
