layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.4978298056e-05,1.2801582495e+01,3.7814476570e+08,7.4192003031e-01
1,2,"Layer 2",6.00000000,1.1385392207e-04,3.4082159452e+01,3.5672412281e+08,6.9989272895e-01
2,3,"Layer 3",10.00000000,2.4060838574e-04,5.9021548744e+01,2.7386614426e+08,5.3732537505e-01
3,4,"Layer 4",14.00000000,2.5683084360e-04,7.0478121094e+01,2.9684199174e+08,5.8240398779e-01
4,5,"Layer 5",18.00000000,3.7283947150e-04,8.5305995005e+01,2.3204633382e+08,4.5527490696e-01
