layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,5.1537551027e-05,2.9259805780019977e-05,76.13770718256905,11.8280195,12.1,-2.247772727272725,0.71445314551,0.8113587690390948,-11.943621887991867,0.30415712750389795,161.28991523005203
2,6.0,0.00013969483005,0.00010238136840577661,36.445558625799805,34.911170094,36.1,-3.2931576343490367,0.6042898931,0.6918075144227482,-12.650573967207318,,
3,10.0,0.00024166742505,0.0001855473392878404,30.2456968542676,55.780640704,57.6,-3.158609888888892,0.51595706445,0.6090693643668219,-15.287634769419055,,
4,14.0,0.0003240675958,0.0002599749714841779,24.65338257368471,71.963502579,74.7,-3.6633164939759166,0.47230521114,0.5637519610572196,-16.22109655205934,,
5,18.0,0.00035336852762,0.000301760267240939,17.102404120637473,81.217602394,84.9,-4.337335224970564,0.46234179172,0.5520070668117482,-16.243501303277128,,
