step,gamma,tau_ref_kpa,tau_model_kpa,tau_backbone_kpa,tau_error_kpa,kt_exact_kpa,secant_ref_g_over_gmax,secant_model_g_over_gmax,branch_id,reason_code,branch_kind,gamma_m_global,f_mrdf,g_ref_kpa,g_t_ref_kpa,reload_factor,direction
0,0.0,0.0,0.0,0.0,0.0,254818.13267287007,nan,nan,,0,backbone,,,,,,0
1,-1.0096556014339174e-12,-5.146052965774576e-07,-5.146053011030594e-07,-5.146053005345436e-07,-4.525601851852279e-15,263098.7610005005,0.9999999825423735,0.9999999913366899,,1,translated_curvature_tangent_restore_bridge,1.0096556014339174e-12,0.82,509683.9950213705,300715.0836573365,1.1,-1
2,-4.435924237346073e-12,-2.260919496954177e-06,-2.2609195199418447e-06,-2.260919514831837e-06,-2.2987667813115925e-14,263176.7240881801,0.9999999504478981,0.9999999606152954,,1,translated_curvature_tangent_restore_bridge,4.435924237346073e-12,0.82,509683.97877428605,300786.6691299508,1.1,-1
3,-3.4084101210225635e-12,-1.7372119768980604e-06,-1.7372120175621278e-06,-1.7372120463753063e-06,-4.066406741124178e-14,298689.6072779695,0.9999999267647264,0.9999999501723847,,1,translated_curvature_tangent_restore_bridge,4.435924237346073e-12,0.82,509683.97877428605,498471.8662684761,1.5553628368672443,1
4,2.1566437398800098e-11,1.0992065770652751e-05,1.0992065979897487e-05,1.099206585766121e-05,2.0924473599929962e-13,263522.8641654819,0.9999997899833533,0.9999998090193285,,1,translated_curvature_tangent_restore_bridge,2.1566437398800098e-11,0.82,509683.8969923136,301237.2593838116,1.5553628368672443,1
5,1.341447969402254e-10,6.837137022417068e-05,6.837139246185601e-05,6.837137076736256e-05,2.2237685325977863e-11,265458.5034322422,0.9999987354443599,0.9999990606924445,,1,translated_curvature_tangent_restore_bridge,1.341447969402254e-10,0.82,509683.35952551826,303589.3700717079,1.5553628368672443,1
6,4.634957153667954e-10,0.0002362353226543138,0.00023623561276653625,0.00023623532454789637,2.901122224396868e-10,271121.2495466473,0.9999956503870165,0.9999968784462132,,1,translated_curvature_tangent_restore_bridge,4.634957153667954e-10,0.82,509681.78715729323,310470.5025787301,1.5553628368672443,1
7,1.137220676449726e-09,0.0005796170042756678,0.0005796187869991843,0.0005796170089144832,1.7827235165510102e-09,282704.9657425828,0.9999893396604675,0.9999924153199099,,1,translated_curvature_tangent_restore_bridge,1.137220676449726e-09,0.82,509678.5706745869,324546.51368805545,1.5553628368672443,1
8,2.082988434935294e-09,0.001061645154797084,0.0010616511736763674,0.0010616451632875753,6.018879283430784e-09,298965.88250560337,0.999980480982844,0.9999861502611086,,1,translated_curvature_tangent_restore_bridge,2.082988434935294e-09,0.82,509674.0555453705,344305.9650506048,1.5553628368672443,1
9,2.8642875153532095e-09,0.0014598423392046282,0.0014598537434813404,0.0014598423508805636,1.1404276712215222e-08,312398.8749734807,0.9999731630477031,0.9999809748300785,,1,translated_curvature_tangent_restore_bridge,2.8642875153532095e-09,0.82,509670.32571118936,360628.99085834366,1.5553628368672443,1
