layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer-1",2.00000000,nan,1.3500000000e+01,1.0000000000e+08,8.0000000000e-01
1,2,"Layer-2",6.00000000,3.0822637313e-05,3.9100000000e+01,1.0000000000e+08,8.0000000000e-01
2,3,"Layer-3",10.00000000,nan,6.1200000000e+01,1.0000000000e+08,8.0000000000e-01
3,4,"Layer-4",14.00000000,9.9009207086e-05,7.8300000000e+01,1.0000000000e+08,8.0000000000e-01
4,5,"Layer-5",18.00000000,nan,8.8900000000e+01,1.0000000000e+08,8.0000000000e-01
