gamma,ref_tau_env_kpa,sw_tau_env_kpa,backbone_tau_kpa,ref_secant_g_over_gmax,sw_secant_g_over_gmax,backbone_secant_g_over_gmax,backbone_tangent_g_over_gmax
1.0096556014339156e-12,5.146052965774576e-07,5.146052966367955e-07,5.146053005345436e-07,0.9999999825423754,0.9999999826576831,0.9999999902319309,0.5000036456288661
1.4527961619725318e-12,7.240120060749543e-07,6.938887579083616e-07,7.404669494479963e-07,0.9777776000084352,0.9370961789136858,0.999999987074627,0.5000257985063031
2.0904323070605614e-12,1.025327883902205e-06,9.216332620479249e-07,1.0654598749610158e-06,0.9623336212935307,0.8650098066149371,0.9999999765070094,0.5000576743414092
3.007928672160936e-12,1.4131365690146794e-06,1.2493354419342127e-06,1.533093076107953e-06,0.9217552104499723,0.8149116500506591,0.9999999731042288,0.5001035405647936
4.328116660964776e-12,2.205971698599908e-06,1.9881499212013264e-06,2.2059717269388317e-06,0.9999999484910631,0.9012580805346151,0.9999999613375209,0.5001695375971744
6.227738710792987e-12,3.243961464988366e-06,3.241921043152996e-06,3.174178591655399e-06,1.0219844856945732,1.0213416668810558,0.9999999415860206,0.5002645009003068
8.961109990335655e-12,4.610058371950243e-06,4.6747237500130285e-06,4.56733400175154e-06,1.0093542499937673,1.023512481605814,0.9999999162393934,0.5004011438479701
1.2894165280204662e-11,6.499325619266349e-06,5.924140141078282e-06,6.5719489446074245e-06,0.988949380272312,0.9014280964471861,0.9999998794774093,0.500597759740355
1.8553449120984154e-11,9.417192710590092e-06,9.336556153305451e-06,9.456394515826465e-06,0.9958542926376068,0.9873270951825602,0.999999825942865,0.5008806708511805
2.669660786909689e-11,1.3735137464475771e-05,1.356147738843795e-05,1.3606830482410429e-05,1.0094293485469086,0.9966666384628742,0.9999997499240176,0.5012877523575879
3.841382090569049e-11,1.9625502808805082e-05,1.9574071988425826e-05,1.9578902850174954e-05,1.0023797501781357,0.999752902174013,0.9999996402087228,0.5018735029238335
5.52737502760639e-11,2.805280478770861e-05,2.8115197296835978e-05,2.8172131548550662e-05,0.9957638531540383,0.9979785409817538,0.99999948221358,0.5027163407646752
7.9533548018601e-11,4.075128152466168e-05,4.0847574486989674e-05,4.053694668763175e-05,1.005286645744193,1.0076620809571666,0.9999992549843821,0.5039291019347707
1.1444103627552091e-10,5.832470231686239e-05,5.788945208840166e-05,5.8328702608478865e-05,0.99993034626773,0.9924683294143322,0.9999989280662193,0.5056741462789347
1.6466951506742881e-10,8.38081177961529e-05,8.43037588666729e-05,8.392928765648219e-05,0.99855474605162,1.004460197174024,0.9999984574997701,0.5081850932807749
2.369434083702222e-10,0.00012074802128686206,0.00012085299063909138,0.00012076599611540572,0.9998489407200395,1.0007181350514747,0.9999977805361083,0.5117980975338384
3.409385079388166e-10,0.00017360755873155003,0.0001738177831564786,0.00017377034752261974,0.9990600051768949,1.0002697843857726,0.9999968063832314,0.5169968504953717
