step,substep,layer_index,gamma,tau,kt_exact,branch_id,reason_code,gamma_m_global,f_mrdf,g_ref,g_t_ref,reload_factor,branch_kind
1,0,0,0.0000000000e+00,0.0000000000e+00,2.5481813267e+05,,0,,,,,,
1,1,0,-1.6155871339e-27,0.0000000000e+00,2.5481813267e+05,,0,,,,,,
1,2,0,-2.5849394142e-26,0.0000000000e+00,2.5481813267e+05,,0,,,,,,
1,3,0,-5.2991257992e-25,0.0000000000e+00,2.5481813267e+05,,0,,,,,,
2,0,0,-7.0568846008e-24,0.0000000000e+00,2.5481813267e+05,,0,,,,,,
2,1,0,-6.8759388418e-23,0.0000000000e+00,2.5481813267e+05,,0,,,,,,
2,2,0,-5.5426270920e-22,0.0000000000e+00,2.5481813267e+05,,0,,,,,,
2,3,0,-3.9047060816e-21,0.0000000000e+00,2.5481813267e+05,,0,,,,,,
3,0,0,-2.4597042695e-20,-1.7403959314e-16,2.5481813267e+05,,0,,,,,,
3,1,0,-1.4209846230e-19,-5.0271812900e-15,2.5481813268e+05,,0,,,,,,
3,2,0,-7.5420942725e-19,-1.4675395518e-13,2.5481813269e+05,,0,,,,,,
3,3,0,-3.4086673749e-18,-1.7352984424e-12,2.5481813276e+05,,0,,,,,,
4,0,0,-1.3285983093e-17,-6.7676639255e-12,2.5481813301e+05,,0,,,,,,
4,1,0,-4.6756982176e-17,-2.3829118212e-11,2.5481813386e+05,,0,,,,,,
4,2,0,-1.5237542123e-16,-7.7665017090e-11,2.5481813656e+05,,0,,,,,,
4,3,0,-4.6418313837e-16,-2.3658364845e-10,2.5481814450e+05,,0,,,,,,
5,0,0,-1.3284226409e-15,-6.7707180508e-10,2.5481816652e+05,,0,,,,,,
5,1,0,-3.5860745578e-15,-1.8277620847e-09,2.5481822404e+05,,0,,,,,,
5,2,0,-9.1647963053e-15,-4.6711457593e-09,2.5481836619e+05,,0,,,,,,
5,3,0,-2.2247083143e-14,-1.1338981436e-08,2.5481869952e+05,,0,,,,,,
6,0,0,-5.1444972138e-14,-2.6220678760e-08,2.5481944346e+05,,0,,,,,,
6,1,0,-1.1362192768e-13,-5.7911275035e-08,2.5482102769e+05,,0,,,,,,
6,2,0,-2.4023206442e-13,-1.2244243598e-07,2.5482425365e+05,,0,,,,,,
6,3,0,-4.8722941104e-13,-2.4833303491e-07,2.5483054700e+05,,0,,,,,,
7,0,0,-9.4961898828e-13,-4.8400559615e-07,2.5484232842e+05,,0,,,,,,
7,1,0,-1.7814085036e-12,-9.0795539382e-07,2.5486352194e+05,,0,,,,,,
7,2,0,-3.2208720511e-12,-1.6416269007e-06,2.5490019864e+05,,0,,,,,,
7,3,0,-5.6194661356e-12,-2.8641518239e-06,2.5496131344e+05,,0,,,,,,
8,0,0,-9.4703472928e-12,-4.8268840614e-06,2.5505943167e+05,,0,,,,,,
8,1,0,-1.5429333143e-11,-7.8640830954e-06,2.5521126318e+05,,0,,,,,,
8,2,0,-2.4317744359e-11,-1.2394362390e-05,2.5543773472e+05,,0,,,,,,
8,3,0,-3.7093691484e-11,-1.8906054483e-05,2.5576325835e+05,,0,,,,,,
9,0,0,-5.4777287994e-11,-2.7919092932e-05,2.5621382587e+05,,0,,,,,,
9,1,0,-7.8317572677e-11,-3.9917184431e-05,2.5681361808e+05,,0,,,,,,
9,2,0,-1.0839625146e-10,-5.5247778930e-05,2.5758000424e+05,,0,,,,,,
9,3,0,-1.4517688055e-10,-7.3994232563e-05,2.5851715137e+05,,0,,,,,,
10,0,0,-1.8802769502e-10,-9.5834538919e-05,2.5960896216e+05,,0,,,,,,
10,1,0,-2.3526959730e-10,-1.1991288517e-04,2.6081265398e+05,,0,,,,,,
10,2,0,-2.8402249958e-10,-1.4476133854e-04,2.6205484396e+05,,0,,,,,,
10,3,0,-3.3023488228e-10,-1.6831491508e-04,2.6323230221e+05,,0,,,,,,
11,0,0,-3.6897321275e-10,-1.8805909299e-04,2.6421932621e+05,,0,,,,,,
11,1,0,-3.9501186520e-10,-2.0133048255e-04,2.6488277141e+05,,0,,,,,,
11,2,0,-4.0369923287e-10,-2.0575826172e-04,2.6510411890e+05,,0,,,,,,
11,3,0,-3.9199141706e-10,-1.9979097581e-04,2.6328019526e+05,,1,,,,,,
12,0,0,-3.5949174618e-10,-1.8322641977e-04,2.6384761163e+05,,1,,,,,,
12,1,0,-3.0918865312e-10,-1.5758776200e-04,2.6472585999e+05,,1,,,,,,
12,2,0,-2.4760535284e-10,-1.2619979206e-04,2.6580105015e+05,,1,,,,,,
12,3,0,-1.8430099677e-10,-9.3934656072e-05,2.6690628749e+05,,1,,,,,,
13,0,0,-1.3064769379e-10,-6.6588516522e-05,2.6784302535e+05,,1,,,,,,
13,1,0,-9.7914563335e-11,-4.9905028571e-05,2.6841451568e+05,,1,,,,,,
