profile_layer_index,profile_layer_name,element_count,mean_compliance_fraction,max_compliance_fraction,mean_kt_kpa,min_kt_kpa,max_kt_kpa,gamma_abs_max,tau_abs_max,gamma_m_global_max,f_mrdf_min,f_mrdf_max,g_ref_min_kpa,g_ref_max_kpa,g_t_ref_min_kpa,g_t_ref_max_kpa,reason_counts,branch_kind_counts
1,Layer 1,2,0.1912370492224159,0.32064749368314394,469972.80045920983,254818.13267,509590.93572,4.8758778863e-05,15.918593543,4.8758778863e-05,0.82,0.82,376747.92041,509682.07262,294318.56227,509605.72615,"{""0"": 99, ""1"": 47893}","{""none"": 99, ""translated_local_tangent_restore_bridge"": 47893}"
2,Layer 2,2,0.1992242266112592,0.31268622978647587,452320.91248335555,209050.33539,509642.14312,0.00013661127165,36.207326608,0.00013661127165,0.72999999993,0.73,322985.25826,509680.58753,263444.96941,509651.4699,"{""0"": 99, ""1"": 47893}","{""none"": 99, ""translated_local_tangent_restore_bridge"": 47893}"
3,Layer 3,2,0.2008269862966177,0.31074656896061154,448079.65895177855,182540.87607,509648.04058,0.00023765438361,53.855707391,0.00023765438361,0.68499999941,0.685,283741.9048,509678.51649,252225.97048,509657.30308,"{""0"": 116, ""1"": 47876}","{""none"": 116, ""translated_local_tangent_restore_bridge"": 47876}"
4,Layer 4,2,0.20284068845645545,0.399024643906942,444287.6680663792,169239.93703,509650.78229,0.0003163756133,66.610601318,0.0003163756133,0.68499998847,0.685,266216.19598,509676.46055,242043.53137,509659.2818,"{""0"": 132, ""1"": 47860}","{""none"": 132, ""translated_local_tangent_restore_bridge"": 47860}"
5,Layer 5,2,0.20587104941325168,0.3124214954145581,438717.58733828703,171002.09347,509653.1933,0.00034150472354,72.441723664,0.00034150472354,0.68499997961,0.685,268034.00164,509674.44631,243260.7237,509661.13114,"{""0"": 140, ""1"": 47852}","{""none"": 140, ""translated_local_tangent_restore_bridge"": 47852}"
