layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.5410744465e-05,1.2117221522e+01,3.4895930301e+08,6.8465815250e-01
1,2,"Layer 2",6.00000000,1.4991158485e-04,3.5337117855e+01,2.9111800616e+08,5.7117352808e-01
2,3,"Layer 3",10.00000000,2.5073280922e-04,5.5227463291e+01,2.5020467908e+08,4.9090158036e-01
3,4,"Layer 4",14.00000000,3.3512520976e-04,7.0695695247e+01,2.2733352424e+08,4.4602837456e-01
4,5,"Layer 5",18.00000000,3.5973813045e-04,7.8774367882e+01,2.2370615327e+08,4.3891147271e-01
