layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,5.4978298056e-05,2.9259805780019977e-05,87.89700269829495,12.801582495,12.1,5.798202438016531,0.74192003031,0.8113587690390948,-8.55832726271415,0.3109961001730878,77.45966925798484
2,6.0,0.00011385392207,0.00010238136840577661,11.205704556275581,34.082159452,36.1,-5.5895860055401725,0.69989272895,0.6918075144227482,1.168708688282772,,
3,10.0,0.00024060838574,0.0001855473392878404,29.674931833295197,59.021548744,57.6,2.467966569444443,0.53732537505,0.6090693643668219,-11.779280573634784,,
4,14.0,0.0002568308436,0.0002599749714841779,-1.2093963762081683,70.478121094,74.7,-5.651778990629184,0.58240398779,0.5637519610572196,3.3085519911632373,,
5,18.0,0.0003728394715,0.000301760267240939,23.554858599826247,85.305995005,84.9,0.4782037750294394,0.45527490696,0.5520070668117482,-17.523717660074247,,
