layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,4.9689213598e-05,1.3986866772e-02,4.3545200226e+05,8.5435682843e-01
1,2,"Layer 2",6.00000000,1.3073744092e-04,4.1469127638e-02,3.8495458840e+05,7.5528090243e-01
2,3,"Layer 3",10.00000000,2.2337481942e-04,6.8089114578e-02,3.4297716786e+05,6.7292120334e-01
3,4,"Layer 4",14.00000000,3.0164148463e-04,8.9882026242e-02,3.1685929167e+05,6.2167793026e-01
4,5,"Layer 5",18.00000000,3.3674216167e-04,1.0257776766e-01,3.0919135521e+05,6.0663343892e-01
