layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.5236888936e-05,1.2094542489e+01,3.4927004732e+08,6.8526783285e-01
1,2,"Layer 2",6.00000000,1.4947647652e-04,3.5262206240e+01,2.9136337196e+08,5.7165493579e-01
2,3,"Layer 3",10.00000000,2.4971382719e-04,5.5099478476e+01,2.5064800719e+08,4.9177139010e-01
3,4,"Layer 4",14.00000000,3.3308169587e-04,7.0466968652e+01,2.2795269443e+08,4.4724318648e-01
4,5,"Layer 5",18.00000000,3.5815974912e-04,7.8555999638e+01,2.2415685057e+08,4.3979574081e-01
