gamma,ref_tau_env_kpa,sw_tau_env_kpa,backbone_tau_kpa,ref_secant_g_over_gmax,sw_secant_g_over_gmax,backbone_secant_g_over_gmax,backbone_tangent_g_over_gmax
1.0096556014339156e-12,5.146052965774576e-07,5.146052795585532e-07,5.146053005345436e-07,0.9999999825423754,0.9999999494706131,0.9999999902319309,0.5000036456288661
1.454153631605839e-12,7.246534803033754e-07,7.411587991321724e-07,7.411588337606153e-07,0.97773033473154,0.9999999454378523,0.9999999921598787,0.5000258663672372
2.09434066557878e-12,1.0271747843435503e-06,1.0674518665634692e-06,1.0674519073375675e-06,0.9622679556778643,0.9999999426378049,0.9999999808354015,0.5000578697223936
3.0163682352140236e-12,1.4199659860739746e-06,1.5373945364195775e-06,1.5373945824758855e-06,0.9236184129858654,0.999999940693661,0.9999999706510364,0.50010396246439
4.344315841230996e-12,2.214228161834222e-06,2.165854867780446e-06,2.214228186693684e-06,0.9999999487912974,0.9781533783201809,0.9999999600184425,0.5001703474042759
6.2568886344977476e-12,3.2599539680021684e-06,2.8051519118488507e-06,3.189035835157095e-06,1.0222380495614238,0.8796237760526442,0.9999999399102885,0.5002659581232858
9.011466204403282e-12,4.63347536370959e-06,4.994066122004925e-06,4.592999752901255e-06,1.0088123713352108,1.0873211340679523,0.9999999155184376,0.5004036611863601
1.2978738778466541e-11,6.541865733289097e-06,4.994066122004925e-06,6.615054694997621e-06,0.9889358808366876,0.7549545314251632,0.99999987897814,0.5006019876217932
1.869259191111014e-11,9.48992191212227e-06,8.635869119716714e-06,9.527313345088636e-06,0.9960751687711935,0.9064326208964633,0.9999998246585085,0.5008876266851093
2.692195276593616e-11,1.3855628042994796e-05,1.6910653878811962e-05,1.3721685117818178e-05,1.0097611506574737,1.2324032707902168,0.9999997481552501,0.5012990174864688
3.8774266521086905e-11,1.9806075178549546e-05,2.1615990208713205e-05,1.976261607838689e-05,1.0021986919676427,1.0937814240056936,0.9999996367310819,0.5018915218161977
5.584452797014634e-11,2.8299741667118428e-05,2.814659928549785e-05,2.846304750976665e-05,0.9942620114252908,0.9888816212374378,0.9999994770706956,0.502744874275017
8.042992386490248e-11,4.1143254169268507e-05,4.5933210788509317e-05,4.099381443157985e-05,1.003644665509198,1.1204904159484608,0.9999992466288814,0.5039739122659881
1.1583897094397911e-10,5.9037997325893776e-05,6.333772483873516e-05,5.904120600360942e-05,0.9999445685922139,1.0727703649883682,0.9999989149454008,0.5057440297706273
1.6683675110645717e-10,8.49123035984843e-05,0.04770958243627322,8.503388976199195e-05,0.9985685840953467,561.0646297672694,0.9999984372260958,0.5082934344511733
2.402861601146214e-10,0.00012242792820885845,0.04770958243627322,0.00012246973557983142,0.9996563809982627,389.56134613190534,0.9999977492283498,0.5119652030700572
3.460714642290529e-10,0.00017630734973775867,0.04770958243627322,0.00017638651637788736,0.99954793495835,270.48228376657977,0.9999967582874735,0.5172534485903292
4.984284500468488e-10,0.0002539687667464263,0.04770958243627322,0.0002540398200559344,0.9997156388712545,187.80268257624562,0.9999953311563288,0.524869810871343
7.178601690536326e-10,0.0003658892480362038,0.04770958243627322,0.0003658793821241283,1.0000202405022987,130.3961468074223,0.9999932757532126,0.5358392169725943
1.0338960833099939e-09,0.0005269220799311531,0.10893902391655841,0.0005269551879682966,0.9999274871460966,206.73099227738862,0.9999903154800117,0.5516377939478955
1.4890659172425586e-09,0.3374669530985716,0.10893902391655841,0.0007589424870977378,444.6479830178418,143.53855040224133,0.9999860520149458,0.5743914855555768
2.144622986475327e-09,0.3374669530985716,0.5974051271336673,0.0010930580641007011,308.73032736196194,546.533753228924,0.9999799116830033,0.6071620848772771
3.0887872060328263e-09,0.3390881487059889,0.5974051271336673,0.0015742598710457563,215.38905015516056,379.47219147052107,0.9999710683369639,0.6543591411454254
4.448617059650188e-09,0.3390881487059889,0.5974051271336673,0.002267294460430665,149.5500587077138,263.47712881170133,0.9999583322479343,0.7223331019197549
6.407108170079736e-09,0.3390881487059889,0.5974051271336673,0.0032654045525205445,103.83638371295723,182.93882652597665,0.9999399901986964,0.8202293656868701
9.227819466737941e-09,0.3390881487059889,0.6227260637731761,0.004702865458340876,72.09622433955188,132.40273411856947,0.999913575325981,0.9612178751083633
1.3290340954185602e-08,0.34070822606191214,0.6227260637731761,0.0067730310352132625,50.29739541596865,91.93056307286672,0.9998755359691389,0.9997511173352314
1.9141376065622465e-08,0.34644283557143396,0.6227260637731761,0.009754304437931113,35.51055240872426,63.829712302814606,0.9998207594117884,0.9996415953429517
2.7568312878398696e-08,0.34644283557143396,0.6227260637731761,0.01404750120743117,24.65587360937077,44.31858172597868,0.9997418873639564,0.9994839157804243
3.970518484960179e-08,0.3504733866839421,0.6227260637731761,0.020229575974217,17.318362369486877,30.771510873873105,0.9996283330308784,0.9992569408917824
5.718528046655794e-08,0.352771195563104,0.6227260637731761,0.02913082540844787,12.103413229956553,21.365437353466643,0.999464871516394,0.9989302950983943
8.236093886543593e-08,0.4962832000894839,0.6227260637731761,0.041945713805073954,11.822444525271653,14.834562890848808,0.9992296222076291,0.9984603707546497
1.1862010985087286e-07,0.4962832000894839,0.6227260637731761,0.060391733498494554,8.208621893960768,10.300011767689934,0.9988911688338465,0.9977846528307186
1.7084227857118499e-07,0.4962832000894839,0.704766083129704,0.08693664378560513,5.699453548204644,8.093728646110973,0.9984044650383676,0.996813704056521
2.46055109745623e-07,0.5896887988756019,1.7080973921088765,0.12512254170193926,4.702074325277273,13.620066902784304,0.9977050470891446,0.9954199471438733
3.5438017766020457e-07,0.5896887988756019,1.7080973921088765,0.18002602091459372,3.264768988426687,9.45675652242796,0.9967009231182758,0.9934221712025396
5.103950511261915e-07,0.6692252076461199,1.7080973921088765,0.25890747732367686,2.5725559916780893,6.566064951281704,0.9952613477038765,0.9905645551696931
