layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,1.8460222475e-04,4.7714645353e+01,3.8963623033e+08,7.6446628390e-01
1,2,"Layer 2",6.00000000,7.2423655147e-04,1.3458225699e+02,2.1649074654e+08,4.2475484472e-01
2,3,"Layer 3",10.00000000,2.5880478936e-03,1.9302935550e+02,9.6053140160e+07,1.8845626099e-01
3,4,"Layer 4",14.00000000,3.9998341134e-03,2.5274888772e+02,7.1520221537e+07,1.4032267466e-01
4,5,"Layer 5",18.00000000,3.4155935897e-03,2.6955723770e+02,8.1505820579e+07,1.5991441998e-01
