layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,5.3043801431e-05,2.9259805780019977e-05,81.28555544692267,12.338952877,12.1,1.9748171652892637,0.72258651346,0.8113587690390948,-10.941183970221848,0.33233900895846763,198.5596099861613
2,6.0,0.0001420023236,0.00010238136840577661,38.69938037670131,36.422434432,36.1,0.8931701717451563,0.6225374517,0.6918075144227482,-10.01290984538495,,
3,10.0,0.00024613670916,0.0001855473392878404,32.65439973686018,58.914239499,57.6,2.2816657968749925,0.53757524508,0.6090693643668219,-11.738255684743885,,
4,14.0,0.00032768442551,0.0002599749714841779,26.04460484764125,76.683824332,74.7,2.6557219973226203,0.49584440127,0.5637519610572196,-12.045644978311145,,
5,18.0,0.00036135048041,0.000301760267240939,19.74753459556075,86.562205724,84.9,1.9578394864546393,0.48502195716,0.5520070668117482,-12.134828280122758,,
