layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,4.9339009951e-05,1.0134594595e+01,3.3258481495e+08,6.5253140692e-01
1,2,"Layer 2",6.00000000,1.3641678376e-04,3.0667847895e+01,3.0220562097e+08,5.9292742833e-01
2,3,"Layer 3",10.00000000,2.2936333290e-04,5.5921197821e+01,2.7376939406e+08,5.3713555115e-01
3,4,"Layer 4",14.00000000,3.1895030108e-04,6.5231476089e+01,2.2090017007e+08,4.3340613367e-01
4,5,"Layer 5",18.00000000,3.5153001779e-04,7.8751896889e+01,2.2999158997e+08,4.5124349953e-01
