layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.0653330966e-05,1.1729455445e+01,3.6601079739e+08,7.1811318448e-01
1,2,"Layer 2",6.00000000,1.3960791223e-04,3.4404256651e+01,3.0458570375e+08,5.9759715076e-01
2,3,"Layer 3",10.00000000,2.4066255903e-04,5.4748448165e+01,2.5945485457e+08,5.0905042467e-01
3,4,"Layer 4",14.00000000,3.1892905589e-04,7.0361034428e+01,2.3795995659e+08,4.6687743483e-01
4,5,"Layer 5",18.00000000,3.4740078058e-04,7.9437786583e+01,2.3464050970e+08,4.6036468003e-01
