layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,5.0653330966e-05,2.9259805780019977e-05,73.11574569845081,11.729455445,12.1,-3.0623516942148794,0.71811318448,0.8113587690390948,-11.49252194186882,0.31642513352346274,146.7749529803768
2,6.0,0.00013960791223,0.00010238136840577661,36.36066249542623,34.404256651,36.1,-4.697349997229929,0.59759715076,0.6918075144227482,-13.61800236318023,,
3,10.0,0.00024066255903,0.0001855473392878404,29.70412831232201,54.748448165,57.6,-4.950610824652782,0.50905042467,0.6090693643668219,-16.421600814022216,,
4,14.0,0.00031892905589,0.0002599749714841779,22.676830800002637,70.361034428,74.7,-5.808521515394921,0.46687743483,0.5637519610572196,-17.183891661422894,,
5,18.0,0.00034740078058,0.000301760267240939,15.124759053391061,79.437786583,84.9,-6.433702493521791,0.46036468003,0.5520070668117482,-16.601669125551457,,
