profile_layer_index,profile_layer_name,element_count,mean_compliance_fraction,max_compliance_fraction,mean_kt_kpa,min_kt_kpa,max_kt_kpa,gamma_abs_max,tau_abs_max,gamma_m_global_max,f_mrdf_min,f_mrdf_max,g_ref_min_kpa,g_ref_max_kpa,g_t_ref_min_kpa,g_t_ref_max_kpa,reason_counts,branch_kind_counts
1,Layer 1,2,0.18352555208560797,0.32036478014869474,457662.07142818364,212151.20745,509586.78107,8.0285204938e-05,22.77942474,8.0285204938e-05,0.81999999969,0.82,334008.30432,509683.98315,199948.70542,509588.52763,"{""0"": 87, ""1"": 47905}","{""none"": 87, ""translated_local_bridge"": 47905}"
2,Layer 2,2,0.19584372758808025,0.35728547640479513,430888.6004021593,136530.79737,509638.24521,0.00024489278675,51.793952257,0.00024489278675,0.72999996112,0.73,262301.85228,509677.24094,125011.54062,509639.4297,"{""0"": 99, ""1"": 47893}","{""none"": 99, ""translated_local_bridge"": 47893}"
3,Layer 3,2,0.20344995105549507,0.41941564810892684,417200.2832550766,101808.14879,509643.98511,0.00044329175643,76.396793937,0.00044329175643,0.68499966458,0.685,218449.96181,509673.19645,91462.004084,509645.01837,"{""0"": 115, ""1"": 47877}","{""none"": 115, ""translated_local_bridge"": 47877}"
4,Layer 4,2,0.20752913769276204,0.48282105710948436,410881.06819312845,91212.96278,509647.87847,0.00057593086421,92.289128842,0.00057593086421,0.68499759059,0.685,204074.39719,509669.00171,81063.062828,509647.95299,"{""0"": 142, ""1"": 47850}","{""none"": 142, ""translated_local_bridge"": 47850}"
5,Layer 5,2,0.20965163157805458,0.4289557532156464,407446.6036606361,97495.43692,509650.50324,0.00057830033272,97.403114818,0.00057830033272,0.68499788886,0.685,212692.83299,509665.07093,87139.085863,509650.61622,"{""0"": 168, ""1"": 47824}","{""none"": 168, ""translated_local_bridge"": 47824}"
