strain,stress
-2.86587063419271e-10,-0.1254294490897966
-2.8888455880706115e-10,-0.12643498498991249
-2.913075366082534e-10,-0.12749544029146856
-2.9316626294569e-10,-0.12830894184220776
-2.9468712037464906e-10,-0.12897456961752496
-2.9479256509223857e-10,-0.12902071919831512
-2.9148123478611517e-10,-0.12757146209963105
-2.804821170171071e-10,-0.12275752086383235
-2.077554762757878e-10,-0.09092753393595122
4.463035525338932e-11,0.019533194573841704
2.5395063081668555e-10,0.1111455881480005
3.280555857663145e-10,0.14357881651238708
3.8425609784415585e-10,0.16817587677178641
4.322417848699583e-10,0.1891775863954912
4.789932048132179e-10,0.20963909912982515
5.201188907425287e-10,0.2276384186664745
5.644942255284326e-10,0.24705999942090062
6.070471074319163e-10,0.2656839542870303
6.500112409204925e-10,0.2844879000401875
6.922152819043212e-10,0.30295917905329617
7.36730376192961e-10,0.3224419278075059
7.746900992798808e-10,0.33905561265980483
8.089205114850298e-10,0.35403710447518105
8.430746180592159e-10,0.368985199900853
8.809834899665318e-10,0.3855766289144997
9.174114793191667e-10,0.4015199258010915
9.507363051497287e-10,0.41610507313841466
9.595603196844719e-10,0.4199670453734767
9.375865295285601e-10,0.41034986181750227
9.133656446928889e-10,0.39974920104391704
9.119702878797936e-10,0.39913850063664086
9.264681797943316e-10,0.4054837367896892
9.460411161991957e-10,0.41405014799137024
9.643320178602598e-10,0.4220554560165497
9.848645842835978e-10,0.43104186476840334
1.0078968004738614e-09,0.441122285543836
1.0425900057504924e-09,0.4563063262087868
1.0887154281099937e-09,0.47649386100732155
1.1195728446745183e-09,0.4899991068961087
1.1331140546048837e-09,0.4959256357537292
1.1655534553092267e-09,0.5101232625084171
1.1948555942522087e-09,0.5229478160696291
1.1957724886138879e-09,0.5233491096705574
1.1985085584472766e-09,0.5245465947481412
1.2433928978456491e-09,0.5441909495781463
1.3208967361687443e-09,0.5781117540528008
1.371921405878721e-09,0.6004435234472487
1.3935765515549655e-09,0.609921247109035
1.445138938040441e-09,0.6324883569201525
1.4908151831133968e-09,0.6524793020369238
1.4879703686594829e-09,0.6512342231228241
1.4875138683278848e-09,0.6510344283923206
1.556674964673492e-09,0.6813038973263903
1.7067616613446966e-09,0.7469917600462632
