gamma,ref_tau_env_kpa,sw_tau_env_kpa,backbone_tau_kpa,ref_secant_g_over_gmax,sw_secant_g_over_gmax,backbone_secant_g_over_gmax,backbone_tangent_g_over_gmax
1.0096556014339156e-12,5.146052965774576e-07,2.1854096818822027e-06,5.146053005345436e-07,0.9999999825423754,4.246768656026059,0.9999999902319309,0.5000036456288661
1.4549726780668583e-12,7.25040521887019e-07,2.1854096818822027e-06,7.415762840951448e-07,0.9777018592899844,2.946978885711874,0.9999999860396241,0.5000259073116373
2.0967005887102126e-12,1.0282899694148957e-06,2.1854096818822027e-06,1.0686547190412444e-06,0.962228424370814,2.0450100432262097,0.9999999777150368,0.500057987696468
3.0214679800988836e-12,1.42409277374007e-06,2.1854096818822027e-06,1.5399938443659299e-06,0.9247392387173389,1.4191028300787638,0.9999999729850944,0.5001042174037131
4.354111790648519e-12,2.219221000661977e-06,2.407034005145977e-06,2.219221022078995e-06,0.9999999489717711,1.084630093893891,0.9999999586224625,0.5001708371096512
6.274529338167629e-12,3.269632175378063e-06,3.3320622006199256e-06,3.198027020273167e-06,1.0223903548827795,1.041911772656627,0.9999999403002382,0.5002668399933486
9.041963162287632e-12,4.6476572680621265e-06,4.665081845085459e-06,4.6085435637626945e-06,1.0084871308722758,1.0122680597737417,0.9999999156686539,0.50040518574868
1.3029996900459522e-11,6.5676483531284856e-06,6.8898318137297364e-06,6.641180126708364e-06,0.9889277844185709,1.0374407617793229,0.9999998775059052,0.5006045500473698
1.8776986388764487e-11,9.534034459872453e-06,9.269397717998846e-06,9.570327846553746e-06,0.99620754221862,0.968555752274683,0.9999998240376899,0.500891845617068
2.7058733822984574e-11,1.3928764062160839e-05,1.4362001808599558e-05,1.3791400191392886e-05,1.0099598543713155,1.0413734621651376,0.999999746331754,0.5013058552550803
3.899321546833709e-11,1.9915761990010797e-05,1.9193624507328965e-05,1.9874210775240814e-05,1.0020903442428974,0.9657549532609054,0.9999996348272372,0.5019024672049306
5.619150040452467e-11,2.8437853543981126e-05,2.910400427349877e-05,2.863989362072076e-05,0.992944979316439,1.0162045063169403,0.999999473760229,0.5027622196289444
8.097523324988728e-11,4.1381710351062506e-05,4.082948997500855e-05,4.127174947911877e-05,1.0026635528014405,0.9892834571145692,0.9999992415007014,0.5040011725873155
1.166900394662827e-10,5.947225433589584e-05,5.887466441528274e-05,5.9474981062690566e-05,0.9999530603232579,0.9899053182860987,0.9999989068921076,0.5057865751343475
1.6815716070396834e-10,8.558503951860477e-05,0.30595018498728865,8.570687929504718e-05,0.9985768401963573,3569.7216558004143,0.9999984248524426,0.5083594423583626
2.423242877057289e-10,0.00012345219351780638,0.30595018498728865,0.00012350853190127626,0.9995415813967715,2477.152677621076,0.9999977300912757,0.5120670899024369
3.4920344852553676e-10,0.00017795468561149634,0.30595018498728865,0.00017798282826827596,0.9998386094146674,1718.981472483852,0.9999967289647264,0.5174100174557265
5.032225602173691e-10,0.0002563592368169947,0.30595018498728865,0.00025648327838114794,0.999511664170752,1192.8603874269377,0.9999952862619728,0.525109469237368
7.251730937393824e-10,0.00036965896080293805,0.3175231941622243,0.00036960661245157846,1.0001348389159213,859.0783460401401,0.9999932072621375,0.5362047897833779
1.0450167728100079e-09,0.0005325251365967836,0.3175231941622243,0.0005326231151074585,0.9998062584535476,596.1440219636577,0.9999902113253175,0.5521937134588822
1.5059301908500147e-09,0.3374669530985716,0.3175231941622243,0.0007675376963983489,439.6685588120067,413.6848479083893,0.9999858940581343,0.5752345176645342
2.1701333401716406e-09,0.3374669530985716,0.3203820572043056,0.001106059757733318,305.10114029682086,289.65482423140617,0.9999796727423298,0.6084373121413642
3.1272888628829876e-09,0.3390881487059889,0.32103088601823737,0.00159388240698052,212.73728510819552,201.40851099639792,0.9999707077251888,0.6562837514067444
4.506605861895312e-09,0.3390881487059889,0.3483587344108473,0.0022968479460986563,147.62572162435035,151.6617721610111,0.9999577891417837,0.7252317559196724
6.494282199357285e-09,0.3390881487059889,0.3531860018431171,0.0033098303918750295,102.44256747953824,106.70169678508383,0.9999391738089833,0.8245867244094097
9.358639867199563e-09,0.3390881487059889,0.3531860018431171,0.004769530917504769,71.08842223649977,74.04397860219659,0.999912350306305,0.9677565321027444
1.3486346523809043e-08,0.34070822606191214,0.6408094084781932,0.0068729068894297935,49.56639168403296,93.2252517133878,0.9998737008112666,0.99974744788083
1.9434612843445383e-08,0.34644283557143396,0.6408094084781932,0.009903708552753103,34.9747557838608,64.69220969328974,0.9998180144662056,0.9996361073070928
2.8006411944688386e-08,0.34644283557143396,0.6408094084781932,0.014270677135746427,24.270186387881814,44.892150121162544,0.9997377876051761,0.9994757202543191
4.035887497908761e-08,0.3504733866839421,0.9329952686461274,0.02056250176387449,17.037857956376794,45.356484871987156,0.9996222183813896,0.9992447201640446
5.8159495503905426e-08,0.352771195563104,0.9329952686461274,0.029626831546616543,11.90067200825764,31.474425398282335,0.9994557642876323,0.9989120990240198
8.381122910441586e-08,0.4962832000894839,0.9329952686461274,0.04268375544667387,11.617866020945915,21.841186700159735,0.9992160765483572,0.9984333187984877
1.207768750937878e-07,0.4962832000894839,0.9329952686461274,0.06148854488517005,8.062036958894538,15.156350924114633,0.9988710504879144,0.9977445002690564
1.7404652948410054e-07,0.4962832000894839,0.9329952686461274,0.08856454688606773,5.594524830067676,10.517513379125614,0.9983746307117797,0.9967542148536644
2.508112120133658e-07,0.5896887988756019,0.9329952686461274,0.12753544173725964,4.612909466250337,7.298464401750342,0.9976608807798136,0.9953319963630485
3.6143360202629187e-07,0.5896887988756019,0.9329952686461274,0.18359715785481615,3.201056591451101,5.064655561012971,0.9966356719738662,0.9932924789368031
5.208469255622357e-07,0.6692252076461199,1.0091835363184103,0.2641838585836887,2.5209323170721807,3.8015355092654475,0.9951651837726604,0.990373938965847
7.505708333335863e-07,0.7401269657670826,1.0471768490955133,0.3798991330001264,1.9346996055901815,2.7373312021248943,0.9930602947531268,0.9862101662290748
1.0816163986049276e-06,0.8949274400533779,1.8249476759521728,0.545800620523463,1.6233552168797039,3.310367073014043,0.990056003479004,0.9802954032744572
1.5586723887672562e-06,1.429790390750382,1.8249476759521728,0.7831379548590396,1.7997680233682156,2.2971776092124245,0.9857855096519182,0.9719442742996325
2.246137927123659e-06,1.4806334427404786,1.8249476759521728,1.121637900166902,1.293332326718182,1.5940905802516463,0.9797499592290523,0.9602532488884611
3.2368159107851614e-06,1.875751987023877,2.024179885786894,1.6023852179335019,1.1369893965351658,1.226959151711225,0.9712877899416512,0.9440784453417247
4.664440733489805e-06,2.5276288702493246,2.6265216967634375,2.2812320602164045,1.0631945150785893,1.1047917257957038,0.9595528214568427,0.9220566417362063
6.721731465711101e-06,3.339716146814246,3.439468123719009,3.232453075534575,0.9748266590319918,1.0039431713651328,0.943517740304628,0.8927085693335591
9.686407541366065e-06,4.70134116481849,4.482854132124889,4.552054371221445,0.9522654557110211,0.9080104981444704,0.9220271361437969,0.8546642917280096
1.3958678881484764e-05,6.329168955880181,5.849872246721155,6.359843745831925,0.8896135155430565,0.8222446661102982,0.893925093874705,0.8070195015428104
2.0115271351563472e-05,8.798989551602622,7.614573612185479,8.799313608112154,0.8582343762811621,0.7427090117990558,0.8582659840509755,0.7497542876641352
2.8987280600296324e-05,11.993761633743237,10.056172761703012,12.034851539450147,0.8117960584722664,0.6806506299324239,0.8145772229237944,0.6840476545318609
