layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.5958848962e-05,1.5037775771e+01,4.1632005279e+08,8.1681994357e-01
1,2,"Layer 2",6.00000000,1.4322946403e-04,4.4877632686e+01,3.7859748300e+08,7.4280826165e-01
2,3,"Layer 3",10.00000000,2.4400795058e-04,7.2521720319e+01,3.3908191461e+08,6.6527871647e-01
3,4,"Layer 4",14.00000000,3.3834951866e-04,9.6500594836e+01,3.0823612366e+08,6.0475927462e-01
4,5,"Layer 5",18.00000000,3.7734382813e-04,1.1071574784e+02,2.9833468380e+08,5.8533264961e-01
