layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.0642426561e-05,1.1727351507e+01,3.6602657545e+08,7.1814414103e-01
1,2,"Layer 2",6.00000000,1.3956927376e-04,3.4397541058e+01,3.0460917130e+08,5.9764319408e-01
2,3,"Layer 3",10.00000000,2.4058538369e-04,5.4737893062e+01,2.5948682877e+08,5.0911315806e-01
3,4,"Layer 4",14.00000000,3.1882968451e-04,7.0348230157e+01,2.3798216489e+08,4.6692100752e-01
4,5,"Layer 5",18.00000000,3.4729070016e-04,7.9422714314e+01,2.3467117913e+08,4.6042485345e-01
