layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,4.2240431248e-05,1.0924961960e+01,4.0436141509e+08,7.9335709642e-01
1,2,"Layer 2",6.00000000,1.0013989659e-04,2.9894041294e+01,3.2864322384e+08,6.4479800518e-01
2,3,"Layer 3",10.00000000,1.7866500881e-04,5.1233083038e+01,2.9332832723e+08,5.7551017802e-01
3,4,"Layer 4",14.00000000,3.7874196031e-04,7.9976934327e+01,2.3988708441e+08,4.7065845962e-01
4,5,"Layer 5",18.00000000,3.9012782579e-04,8.6415089251e+01,2.2774244414e+08,4.4683067541e-01
