layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,4.7108515223e-05,2.9259805780019977e-05,61.00077894285955,11.72672637,12.1,-3.0849060330578504,0.77751826294,0.8113587690390948,-4.170843699535358,0.31269023508421717,52.55461352849751
2,6.0,0.00013015092874,0.00010238136840577661,27.123646388629982,34.848899106,36.1,-3.4656534459833903,0.68385431012,0.6918075144227482,-1.149626758446604,,
3,10.0,0.00018529144017,0.0001855473392878404,-0.1379158110391591,56.426520751,57.6,-2.037290362847228,0.6142653068,0.6090693643668219,0.8530953512297776,,
4,14.0,0.00033356089189,0.0002599749714841779,28.30500181833872,82.69030535,74.7,10.6965265729585,0.52760793163,0.5637519610572196,-6.411335467363647,,
5,18.0,0.00036920598924,0.000301760267240939,22.35076294693538,84.99206401,84.9,0.10843817432273428,0.46156213748,0.5520070668117482,-16.38474120524126,,
