layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,8.0350286097e-05,1.5209172012e+01,3.0582333998e+08,6.0002539304e-01
1,2,"Layer 2",6.00000000,2.4459317019e-04,4.4667123307e+01,2.2976059818e+08,4.5079029363e-01
2,3,"Layer 3",10.00000000,4.4255810302e-04,7.0605771330e+01,1.8330065843e+08,3.5963589184e-01
3,4,"Layer 4",14.00000000,5.7606544521e-04,8.8935304763e+01,1.6560376796e+08,3.2491459275e-01
4,5,"Layer 5",18.00000000,5.7789787088e-04,9.6737752554e+01,1.6858445060e+08,3.3076269207e-01
