layer,z_mid_m,material,reload_factor,ref_gamma_max,ref_tau_peak_kpa,ref_secant_g_over_gmax,sw_backbone_tau_peak_kpa,sw_backbone_tau_pct_diff,sw_backbone_secant_g_over_gmax,sw_backbone_secant_pct_diff,sw_backbone_tangent_g_over_gmax,backbone_masing_loop_energy,backbone_masing_loop_energy_pct_diff
1,2.0,gqh,1.6,2.9259805780019977e-05,12.1,0.8113587690390948,12.129743532742133,0.24581432018291677,0.8133531985746272,0.2458135182164175,0.6822728945235856,0.00027825684613537493,143.0359129540821
2,6.0,gqh,1.6,0.00010238136840577661,36.1,0.6918075144227482,36.058119371991374,-0.11601281996849651,0.6910049234884731,-0.1160136190403829,0.4973337230797821,0.0037939241580697593,
3,10.0,gqh,1.6,0.0001855473392878404,57.6,0.6090693643668219,57.58506313896667,-0.025932050405093793,0.608911415320961,-0.025932850197622787,0.3992270594719977,0.012671742652140819,
4,14.0,gqh,1.6,0.0002599749714841779,74.7,0.5637519610572196,74.72361226042626,0.03160945170851654,0.5639301554496645,0.03160865145564327,0.35181910453041826,0.024727435189689288,
5,18.0,gqh,1.6,0.000301760267240939,84.9,0.5520070668117482,84.91928671863955,0.02271698308545217,0.5521324617466866,0.022716182903728024,0.33983126165509553,0.03320312711258073,
