layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,4.8309809509e-05,1.0568088453e+01,3.4893942939e+08,6.8461916046e-01
1,2,"Layer 2",6.00000000,1.3761139428e-04,3.1028469313e+01,2.8227552998e+08,5.5382458981e-01
2,3,"Layer 3",10.00000000,2.4173012136e-04,4.9201656451e+01,2.3502188376e+08,4.6111293594e-01
3,4,"Layer 4",14.00000000,3.2344380909e-04,6.2932543205e+01,2.1083223201e+08,4.1365283919e-01
4,5,"Layer 5",18.00000000,3.4421927526e-04,7.0078907784e+01,2.0792085934e+08,4.0794072603e-01
