layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.1758320536e-05,1.2154810581e+01,3.7109684740e+08,7.2809201461e-01
1,2,"Layer 2",6.00000000,1.4176649820e-04,3.5714893605e+01,3.1128172274e+08,6.1073474002e-01
2,3,"Layer 3",10.00000000,2.4342670659e-04,5.6970064705e+01,2.6794235280e+08,5.2570289619e-01
3,4,"Layer 4",14.00000000,3.3143624397e-04,7.3718848556e+01,2.4076257263e+08,4.7237616750e-01
4,5,"Layer 5",18.00000000,3.5805652926e-04,8.3120008494e+01,2.3742813650e+08,4.6583400380e-01
