layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.0563602471e-05,1.0834865096e+01,3.4212709203e+08,6.7125335456e-01
1,2,"Layer 2",6.00000000,1.3965865202e-04,3.1876424946e+01,2.8398709850e+08,5.5718268726e-01
2,3,"Layer 3",10.00000000,2.3872379076e-04,5.0649641113e+01,2.4306399970e+08,4.7689156740e-01
3,4,"Layer 4",14.00000000,3.2010835314e-04,6.4994420296e+01,2.2056455280e+08,4.3274765260e-01
4,5,"Layer 5",18.00000000,3.4437265504e-04,7.2972414044e+01,2.1680391317e+08,4.2536927764e-01
