profile_layer_index,profile_layer_name,element_count,mean_compliance_fraction,max_compliance_fraction,mean_kt_kpa,min_kt_kpa,max_kt_kpa,gamma_abs_max,tau_abs_max,gamma_m_global_max,f_mrdf_min,f_mrdf_max,g_ref_min_kpa,g_ref_max_kpa,g_t_ref_min_kpa,g_t_ref_max_kpa,reason_counts,branch_kind_counts
1,Layer 1,2,0.19150364611580212,0.29997452280314707,469565.0628663111,241350.66367,509605.17783,5.5536856364e-05,18.209777321,5.5536856364e-05,0.81999999999,0.82,366053.03362,509682.07262,229277.57326,509684.0,"{""0"": 100, ""1"": 47892}","{""none"": 100, ""translated_curvature_progressive_bridge"": 47892}"
2,Layer 2,2,0.19755307937967934,0.33639370117338047,455209.63485774986,173094.19224,509651.35496,0.00015010421502,40.828046409,0.00015010421502,0.72999999978,0.73,313220.61373,509680.59372,159497.07117,509684.0,"{""0"": 102, ""1"": 47890}","{""none"": 102, ""translated_curvature_progressive_bridge"": 47890}"
3,Layer 3,2,0.20106422086975767,0.3471896553824573,448271.7618955009,139873.88139,509657.12014,0.00025132442126,59.764224579,0.00025132442126,0.68499999887,0.685,277721.91084,509678.52232,126248.86593,509684.0,"{""0"": 116, ""1"": 47876}","{""none"": 116, ""translated_curvature_progressive_bridge"": 47876}"
4,Layer 4,2,0.20371019789040604,0.487959842173481,443589.7536986747,126660.50199,509658.97796,0.00033562033364,73.807396521,0.00033562033364,0.68499997889,0.685,259870.10521,509676.46051,112822.52404,509684.0,"{""0"": 132, ""1"": 47860}","{""none"": 132, ""translated_curvature_progressive_bridge"": 47860}"
5,Layer 5,2,0.20616885574435487,0.38455996322959984,438650.6443811648,129501.75856,509661.07164,0.00035973789226,79.697253758,0.00035973789226,0.68499996583,0.685,262425.92842,509674.45201,115575.72194,509684.0,"{""0"": 140, ""1"": 47852}","{""none"": 140, ""translated_curvature_progressive_bridge"": 47852}"
