layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.3704566388e-05,1.2691918350e+01,3.7516401232e+08,7.3607179217e-01
1,2,"Layer 2",6.00000000,1.4159902902e-04,3.6859842527e+01,3.1880605394e+08,6.2549747784e-01
2,3,"Layer 3",10.00000000,2.5151847601e-04,5.8670087051e+01,2.6819956798e+08,5.2620755237e-01
3,4,"Layer 4",14.00000000,3.3868687312e-04,7.5671602707e+01,2.4163626710e+08,4.7409035604e-01
4,5,"Layer 5",18.00000000,3.6169153978e-04,8.5069753154e+01,2.3969700202e+08,4.7028551796e-01
