layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,1.0015030160e-04,1.9518000301e+01,3.1694192976e+08,6.2184006618e-01
1,2,"Layer 2",6.00000000,2.9099960915e-04,5.7137446935e+01,2.4756324627e+08,4.8571908919e-01
2,3,"Layer 3",10.00000000,5.3107471049e-04,9.1310109407e+01,1.9850600915e+08,3.8946878996e-01
3,4,"Layer 4",14.00000000,7.0268472605e-04,1.1557233842e+02,1.7722270265e+08,3.4771094260e-01
4,5,"Layer 5",18.00000000,7.0694664463e-04,1.2580366244e+02,1.7958739842e+08,3.5235047570e-01
