layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,4.8877177301e-05,1.1177723541e+01,3.6105381286e+08,7.0838758084e-01
1,2,"Layer 2",6.00000000,1.3698205119e-04,3.2898163346e+01,2.9561414123e+08,5.7999494509e-01
2,3,"Layer 3",10.00000000,2.4292824022e-04,5.2425601743e+01,2.4795693010e+08,4.8649149686e-01
3,4,"Layer 4",14.00000000,3.2434605322e-04,6.7313302483e+01,2.2398481564e+08,4.3945820828e-01
4,5,"Layer 5",18.00000000,3.4863975903e-04,7.5420528370e+01,2.2106683345e+08,4.3373312723e-01
