layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.1537551027e-05,1.1828019500e+01,3.6414533410e+08,7.1445314551e-01
1,2,"Layer 2",6.00000000,1.3969483005e-04,3.4911170094e+01,3.0799688741e+08,6.0428989310e-01
2,3,"Layer 3",10.00000000,2.4166742505e-04,5.5780640704e+01,2.6297505833e+08,5.1595706445e-01
3,4,"Layer 4",14.00000000,3.2406759580e-04,7.1963502579e+01,2.4072640731e+08,4.7230521114e-01
4,5,"Layer 5",18.00000000,3.5336852762e-04,8.1217602394e+01,2.3564821189e+08,4.6234179172e-01
