layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.6274408179e-05,1.5173830124e+01,4.1898777711e+08,8.2205401869e-01
1,2,"Layer 2",6.00000000,1.4429332847e-04,4.5145802449e+01,3.8020148619e+08,7.4595531590e-01
2,3,"Layer 3",10.00000000,2.4763605108e-04,7.3323597440e+01,3.3846105196e+08,6.6406058394e-01
3,4,"Layer 4",14.00000000,3.4309706735e-04,9.7545531429e+01,3.0658838178e+08,6.0152640506e-01
4,5,"Layer 5",18.00000000,3.8288003589e-04,1.1169218513e+02,2.9616139542e+08,5.8106865781e-01
