layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,4.8877177301e-05,2.9259805780019977e-05,67.04546048072444,11.177723541,12.1,-7.622119495867761,0.70838758084,0.8113587690390948,-12.691202970671682,0.28624571618144556,118.10417361732873
2,6.0,0.00013698205119,0.00010238136840577661,33.79587841323591,32.898163346,36.1,-8.869353612188378,0.57999494509,0.6918075144227482,-16.16238144305874,,
3,10.0,0.00024292824022,0.0001855473392878404,30.925208171885643,52.425601743,57.6,-8.983330307291666,0.48649149686,0.6090693643668219,-20.125436391674665,,
4,14.0,0.00032434605322,0.0002599749714841779,24.7604918920973,67.313302483,74.7,-9.888483958500672,0.43945820828,0.5637519610572196,-22.047595638359837,,
5,18.0,0.00034863975903,0.000301760267240939,15.535342746641433,75.42052837,84.9,-11.165455394581867,0.43373312723,0.5520070668117482,-21.42616402809265,,
