layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,5.1696259099e-05,1.2396841257e+01,3.7709786118e+08,7.3986600364e-01
1,2,"Layer 2",6.00000000,1.3890905662e-04,3.6522635348e+01,3.2164309956e+08,6.3106376134e-01
2,3,"Layer 3",10.00000000,2.3893301618e-04,5.8198760864e+01,2.7662668024e+08,5.4274154663e-01
3,4,"Layer 4",14.00000000,3.1603894476e-04,7.4957010138e+01,2.5503202202e+08,5.0037282720e-01
4,5,"Layer 5",18.00000000,3.4650882423e-04,8.4696593359e+01,2.5117255809e+08,4.9280055896e-01
