layer,z_mid_m,sw_gamma_max,ref_gamma_max,gamma_max_pct_diff,sw_tau_peak_kpa,ref_tau_peak_kpa,tau_peak_pct_diff,sw_secant_g_over_gmax,ref_secant_g_over_gmax,secant_g_over_gmax_pct_diff,stress_path_nrmse,loop_energy_pct_diff
1,2.0,5.2026390578e-05,2.9259805780019977e-05,77.80839342934449,11.919255582,12.1,-1.493755520661155,0.71315611542,0.8113587690390948,-12.103480897285145,0.3055206031876567,161.85300321666776
2,6.0,0.00014044779088,0.00010238136840577661,37.18100575033493,35.179757434,36.1,-2.549148382271465,0.60588468833,0.6918075144227482,-12.42004810607517,,
3,10.0,0.00024393022889,0.0001855473392878404,31.46522597750106,56.269768728,57.6,-2.3094292916666648,0.51673156251,0.6090693643668219,-15.160473873581664,,
4,14.0,0.00032535787088,0.0002599749714841779,25.149689996139227,72.710397678,74.7,-2.6634569236947736,0.47349010957,0.5637519610572196,-16.010915743503414,,
5,18.0,0.00035321307103,0.000301760267240939,17.050887533837827,81.77007485,84.9,-3.686602061248534,0.46603876352,0.5520070668117482,-15.573768609209862,,
