layer_index,layer_tag,layer_name,z_mid_m,gamma_max,tau_peak_kpa,secant_g_pa,secant_g_over_gmax
0,1,"Layer 1",2.00000000,6.4295901666e-05,1.4864978456e+01,3.7249047961e+08,7.3082632099e-01
1,2,"Layer 2",6.00000000,1.6329066774e-04,3.8956728209e+01,2.8979676549e+08,5.6858125389e-01
2,3,"Layer 3",10.00000000,2.6267739745e-04,6.0943871774e+01,2.5931259377e+08,5.0877130897e-01
3,4,"Layer 4",14.00000000,3.3942059988e-04,7.4280439344e+01,2.3662614294e+08,4.6426049245e-01
4,5,"Layer 5",18.00000000,3.4489544452e-04,8.5452777076e+01,2.7839835191e+08,5.4621756646e-01
